CHANNEL_KEY	SITE_KEY	COUNTRY_CODE	POSTCODE
8	AALENC	FR	61250    
8	ABERNA	FR	80370    
8	ABI62 	FR	93190    
8	AEVREU	FR	27000    
8	ALEBOI	FR	69620    
8	ALETAI	FR	33320    
8	AMANTE	FR	78200    
8	ANANTE	FR	44000    
8	APARIS	FR	75009    
8	APOISA	FR	38320    
8	ARILHA	FR	87570    
8	ATA400	FR	14400    
8	ATA401	FR	08300    
8	ATBPBL	FR	75007    
8	ATBPBM	FR	75009    
8	ATKZ55	FR	13200    
8	ATLAAG	FR	06600
8	ATLAAI	FR	34660
8	ATLAAJ	FR	06130
8	ATLAAK	FR	30133
8	ATLAAL	FR	34560
8	ATLAAN	FR	83200
8	ATPAES	FR	44130    
8	ATPAEU	FR	03400    
8	ATPAFS	FR	72200    
8	ATPAFX	FR	01000    
8	ATPAHU	FR	34420    
8	ATPAJA	FR	58000    
8	ATPAKD	FR	57190    
8	ATPAKE	FR	06400    
8	ATPAKF	FR	30400    
8	ATPAKG	FR	34200    
8	ATPAKH	FR	74130    
8	ATPAKJ	FR	60120    
8	ATPR24	FR	33320    
8	ATPW35	FR	59136    
8	ATPZ81	FR	65400    
8	AV001 	FR	33340    
8	AVRINE	FR	79100    
8	AWAVRI	FR	59136    
8	CC9999	FR	
8	DH9999	FR	
8	DR9999	FR	
8	DS9999	FR	
8	ED9999	FR	
8	ES9999	FR	
8	FRA001	FR	13290
8	FRA002	FR	49044
8	FRA003	FR	49017
8	FRA004	FR	64600
8	FRA005	FR	17690
8	FRA006	FR	74009
8	FRA007	FR	06606
8	FRA008	FR	91201
8	FRA009	FR	93606
8	FRA010	FR	84097
8	FRA011	FR	76360
8	FRA012	FR	33130
8	FRA013	FR	94220
8	FRA014	FR	25022
8	FRA015	FR	87220
8	FRA016	FR	01000
8	FRA017	FR	18000
8	FRA018	FR	29603
8	FRA019	FR	62231
8	FRA020	FR	71100
8	FRA021	FR	71100
8	FRA022	FR	51000
8	FRA023	FR	73000
8	FRA024	FR	73000
8	FRA025	FR	77420
